UTC,Open,High,Low,Close,Volume
16.12.2025 15:32:00.000 UTC,119.936,119.937,119.901,119.903,538.8
16.12.2025 15:33:00.000 UTC,119.901,119.912,119.887,119.895,325.05
16.12.2025 15:34:00.000 UTC,119.895,119.908,119.891,119.893,358.2
16.12.2025 15:35:00.000 UTC,119.892,119.912,119.885,119.902,388.2
16.12.2025 15:36:00.000 UTC,119.903,119.918,119.888,119.916,303
16.12.2025 15:37:00.000 UTC,119.919,119.944,119.916,119.927,336
16.12.2025 15:38:00.000 UTC,119.927,119.929,119.898,119.911,193.5
16.12.2025 15:39:00.000 UTC,119.91,119.92,119.901,119.918,175.5
16.12.2025 15:40:00.000 UTC,119.919,119.921,119.895,119.914,131.55
16.12.2025 15:41:00.000 UTC,119.916,119.925,119.906,119.92,182.7
16.12.2025 15:42:00.000 UTC,119.92,119.923,119.902,119.917,171.75
16.12.2025 15:43:00.000 UTC,119.917,119.956,119.917,119.951,114
16.12.2025 15:44:00.000 UTC,119.948,120.006,119.945,119.993,466.2
16.12.2025 15:45:00.000 UTC,119.993,119.999,119.975,119.995,370.2
16.12.2025 15:46:00.000 UTC,119.996,120.006,119.988,120.003,230.1
16.12.2025 15:47:00.000 UTC,120.004,120.011,119.98,119.988,259.05
16.12.2025 15:48:00.000 UTC,119.986,120.001,119.978,119.999,157.95
16.12.2025 15:49:00.000 UTC,119.999,119.999,119.983,119.998,202.65
16.12.2025 15:50:00.000 UTC,119.998,120.001,119.963,119.976,227.7
16.12.2025 15:51:00.000 UTC,119.977,119.995,119.977,119.985,241.05
16.12.2025 15:52:00.000 UTC,119.984,120.002,119.979,120.002,209.1
16.12.2025 15:53:00.000 UTC,120.001,120.01,119.989,120.005,240.75
16.12.2025 15:54:00.000 UTC,120.006,120.028,120.006,120.013,284.55
16.12.2025 15:55:00.000 UTC,120.011,120.033,120.007,120.02,300.9
16.12.2025 15:56:00.000 UTC,120.024,120.045,120.02,120.027,333.45
16.12.2025 15:57:00.000 UTC,120.027,120.082,120.016,120.079,453.75
16.12.2025 15:58:00.000 UTC,120.079,120.116,120.075,120.108,312.9
16.12.2025 15:59:00.000 UTC,120.108,120.119,120.104,120.111,278.85
16.12.2025 16:00:00.000 UTC,120.113,120.14,120.11,120.137,335.85
16.12.2025 16:01:00.000 UTC,120.136,120.163,120.136,120.147,307.95
16.12.2025 16:02:00.000 UTC,120.147,120.153,120.133,120.142,308.4
16.12.2025 16:03:00.000 UTC,120.141,120.167,120.141,120.161,196.35
16.12.2025 16:04:00.000 UTC,120.161,120.169,120.137,120.138,251.4
16.12.2025 16:05:00.000 UTC,120.139,120.156,120.137,120.152,226.5
16.12.2025 16:06:00.000 UTC,120.153,120.159,120.137,120.146,326.4
16.12.2025 16:07:00.000 UTC,120.145,120.156,120.142,120.145,161.55
16.12.2025 16:08:00.000 UTC,120.146,120.173,120.145,120.163,172.2
16.12.2025 16:09:00.000 UTC,120.161,120.179,120.159,120.178,154.5
16.12.2025 16:10:00.000 UTC,120.178,120.184,120.168,120.171,92.4
16.12.2025 16:11:00.000 UTC,120.171,120.171,120.136,120.136,216.6
16.12.2025 16:12:00.000 UTC,120.135,120.145,120.117,120.117,258
16.12.2025 16:13:00.000 UTC,120.116,120.126,120.103,120.12,538.2
16.12.2025 16:14:00.000 UTC,120.119,120.143,120.119,120.138,266.4
16.12.2025 16:15:00.000 UTC,120.137,120.147,120.125,120.145,260.7
16.12.2025 16:16:00.000 UTC,120.146,120.15,120.125,120.125,249.15
16.12.2025 16:17:00.000 UTC,120.122,120.126,120.104,120.108,321.9
16.12.2025 16:18:00.000 UTC,120.109,120.133,120.108,120.128,402
16.12.2025 16:19:00.000 UTC,120.128,120.137,120.119,120.127,219.15
16.12.2025 16:20:00.000 UTC,120.125,120.136,120.11,120.135,247.2
16.12.2025 16:21:00.000 UTC,120.133,120.14,120.106,120.122,222.6
16.12.2025 16:22:00.000 UTC,120.123,120.143,120.123,120.138,289.8
16.12.2025 16:23:00.000 UTC,120.137,120.144,120.129,120.131,240.6
16.12.2025 16:24:00.000 UTC,120.13,120.137,120.123,120.137,149.85
16.12.2025 16:25:00.000 UTC,120.137,120.141,120.118,120.122,187.5
16.12.2025 16:26:00.000 UTC,120.123,120.123,120.107,120.111,273.9
16.12.2025 16:27:00.000 UTC,120.111,120.123,120.103,120.116,285.9
16.12.2025 16:28:00.000 UTC,120.116,120.125,120.106,120.121,234
16.12.2025 16:29:00.000 UTC,120.122,120.138,120.121,120.134,297.15
16.12.2025 16:30:00.000 UTC,120.135,120.136,120.112,120.117,314.1
16.12.2025 16:31:00.000 UTC,120.117,120.173,120.113,120.164,163.8
16.12.2025 16:32:00.000 UTC,120.166,120.167,120.143,120.146,269.1
16.12.2025 16:33:00.000 UTC,120.147,120.159,120.139,120.147,247.65
16.12.2025 16:34:00.000 UTC,120.148,120.155,120.136,120.149,196.2
16.12.2025 16:35:00.000 UTC,120.148,120.154,120.14,120.14,254.7
16.12.2025 16:36:00.000 UTC,120.141,120.146,120.127,120.127,272.55
16.12.2025 16:37:00.000 UTC,120.129,120.129,120.103,120.108,252.75
16.12.2025 16:38:00.000 UTC,120.108,120.119,120.105,120.111,215.55
16.12.2025 16:39:00.000 UTC,120.112,120.12,120.109,120.112,251.55
16.12.2025 16:40:00.000 UTC,120.11,120.12,120.09,120.095,347.55
16.12.2025 16:41:00.000 UTC,120.096,120.12,120.094,120.119,235.5
